UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;3,30E+13;5103403;CUIABA;MT;78060900;Avenida Fernando Correa da Costa;2367;Boa Esperança;(65) 3615 8302
UNIVERSIDADE DE BRASÍLIA;UNB;38174000143;5300108;BRASILIA;DF;70910900;Campus Universitário Darcy Ribeiro;s/n;Asa Norte;(61) 3307-1750/2600
UNIVERSIDADE FEDERAL DE SERGIPE;UFS;1,30E+13;2806701;SAO CRISTOVAO;SE;49100000;Avenida Marechal Rondon;s/n;Jardim Rosa Elze;(79) 2105-6408
UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;4,38E+12;1302603;MANAUS;AM;69077000;Av. Rodrigo Otávio;6200;Coroado II;(92) 3305-4513
UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;6,52E+12;2211001;TERESINA;PI;64049550;Campus Universitário Ministro Petrônio Portela;s/n;Ininga;(86) 3215 5620 (86) 3215 5621 (86) 3215 1104
UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;2,31E+13;3146107;OURO PRETO;MG;35400000;Rua Diogo de Vasconcelos;122;Centro;(31)3559-1218
UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;4,54E+13;3548906;SAO CARLOS;SP;13565905;Via Washington  Luis;Km 235;Monjolinho;(16) 3351 8111
UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;2,59E+13;3171303;VICOSA;MG;36570000;Av. P.H. Rolfs;s/n;Campus Universitário;(31)  3899 2101
UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;7,70E+13;4113700;LONDRINA;PR;86051990;Rodovia Celso Garcia Cid/Pr 445;KM 380;CAMPUS UNIVERSITÁRIO;(43)) 3371 4311
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;7,67E+13;4106902;CURITIBA;PR;80215901;Rua Imaculada Conceição;1155;Prado Velho;(41) 3271-2303 (41) 9102-2090
